# YYYY MM DD HHMM  Lon(deg)  Lat(deg)  Dist(AU)
2017 03 27 0000  292.732908  2.404539  106.105950
2017 03 28 0000  292.732635  2.404560  106.072395
2017 03 29 0000  292.732362  2.404580  106.038839
2017 03 30 0000  292.732089  2.404600  106.005283
2017 03 31 0000  292.731815  2.404620  105.971727
2017 04 01 0000  292.731542  2.404641  105.938171
2017 04 02 0000  292.731268  2.404661  105.904615
2017 04 03 0000  292.730994  2.404681  105.871059
2017 04 04 0000  292.730720  2.404702  105.837503
2017 04 05 0000  292.730446  2.404722  105.803947
2017 04 06 0000  292.730172  2.404742  105.770391
2017 04 07 0000  292.729897  2.404763  105.736835
2017 04 08 0000  292.729622  2.404783  105.703279
2017 04 09 0000  292.729347  2.404803  105.669723
2017 04 10 0000  292.729072  2.404824  105.636167
2017 04 11 0000  292.728797  2.404844  105.602611
2017 04 12 0000  292.728521  2.404864  105.569055
2017 04 13 0000  292.728246  2.404885  105.535498
2017 04 14 0000  292.727970  2.404905  105.501942
2017 04 15 0000  292.727694  2.404926  105.468386
2017 04 16 0000  292.727418  2.404946  105.434830
2017 04 17 0000  292.727142  2.404967  105.401273
2017 04 18 0000  292.726865  2.404987  105.367717
2017 04 19 0000  292.726588  2.405008  105.334161
2017 04 20 0000  292.726311  2.405028  105.300604
2017 04 21 0000  292.726034  2.405049  105.267048
2017 04 22 0000  292.725757  2.405069  105.233492
2017 04 23 0000  292.725480  2.405090  105.199935
2017 04 24 0000  292.725202  2.405110  105.166379
2017 04 25 0000  292.724925  2.405131  105.132822
2017 04 26 0000  292.724647  2.405151  105.099266
2017 04 27 0000  292.724369  2.405172  105.065709
2017 04 28 0000  292.724090  2.405193  105.032153
2017 04 29 0000  292.723812  2.405213  104.998596
2017 04 30 0000  292.723533  2.405234  104.965040
2017 05 01 0000  292.723254  2.405255  104.931483
2017 05 02 0000  292.722975  2.405275  104.897926
2017 05 03 0000  292.722696  2.405296  104.864370
2017 05 04 0000  292.722417  2.405317  104.830813
2017 05 05 0000  292.722137  2.405337  104.797256
2017 05 06 0000  292.721858  2.405358  104.763699
2017 05 07 0000  292.721578  2.405379  104.730143
2017 05 08 0000  292.721298  2.405399  104.696586
2017 05 09 0000  292.721017  2.405420  104.663029
2017 05 10 0000  292.720737  2.405441  104.629472
2017 05 11 0000  292.720456  2.405462  104.595915
2017 05 12 0000  292.720176  2.405483  104.562359
2017 05 13 0000  292.719895  2.405503  104.528802
2017 05 14 0000  292.719613  2.405524  104.495245
2017 05 15 0000  292.719332  2.405545  104.461688
2017 05 16 0000  292.719051  2.405566  104.428131
2017 05 17 0000  292.718769  2.405587  104.394574
2017 05 18 0000  292.718487  2.405608  104.361017
2017 05 19 0000  292.718205  2.405629  104.327460
2017 05 20 0000  292.717923  2.405649  104.293902
2017 05 21 0000  292.717640  2.405670  104.260345
2017 05 22 0000  292.717358  2.405691  104.226788
2017 05 23 0000  292.717075  2.405712  104.193231
2017 05 24 0000  292.716792  2.405733  104.159674
2017 05 25 0000  292.716509  2.405754  104.126117
2017 05 26 0000  292.716226  2.405775  104.092559
2017 05 27 0000  292.715942  2.405796  104.059002
2017 05 28 0000  292.715658  2.405817  104.025445
2017 05 29 0000  292.715375  2.405838  103.991888
2017 05 30 0000  292.715091  2.405859  103.958330
2017 05 31 0000  292.714806  2.405880  103.924773
2017 06 01 0000  292.714522  2.405901  103.891215
2017 06 02 0000  292.714237  2.405922  103.857658
2017 06 03 0000  292.713952  2.405944  103.824101
2017 06 04 0000  292.713667  2.405965  103.790543
2017 06 05 0000  292.713382  2.405986  103.756986
2017 06 06 0000  292.713097  2.406007  103.723428
2017 06 07 0000  292.712811  2.406028  103.689871
2017 06 08 0000  292.712526  2.406049  103.656313
2017 06 09 0000  292.712240  2.406070  103.622756
2017 06 10 0000  292.711954  2.406092  103.589198
2017 06 11 0000  292.711667  2.406113  103.555640
2017 06 12 0000  292.711381  2.406134  103.522083
2017 06 13 0000  292.711094  2.406155  103.488525
2017 06 14 0000  292.710808  2.406176  103.454967
2017 06 15 0000  292.710521  2.406198  103.421409
2017 06 16 0000  292.710233  2.406219  103.387852
2017 06 17 0000  292.709946  2.406240  103.354294
2017 06 18 0000  292.709658  2.406262  103.320736
2017 06 19 0000  292.709371  2.406283  103.287178
2017 06 20 0000  292.709083  2.406304  103.253620
2017 06 21 0000  292.708795  2.406326  103.220063
2017 06 22 0000  292.708506  2.406347  103.186505
2017 06 23 0000  292.708218  2.406368  103.152947
2017 06 24 0000  292.707929  2.406390  103.119389
2017 06 25 0000  292.707640  2.406411  103.085831
2017 06 26 0000  292.707351  2.406432  103.052273
2017 06 27 0000  292.707062  2.406454  103.018715
2017 06 28 0000  292.706772  2.406475  102.985157
2017 06 29 0000  292.706483  2.406497  102.951599
2017 06 30 0000  292.706193  2.406518  102.918040
2017 07 01 0000  292.705903  2.406540  102.884482
2017 07 02 0000  292.705613  2.406561  102.850924
2017 07 03 0000  292.705322  2.406583  102.817366
